"Date","Simple Date","Outdoor Temperature (°F)","Feels Like (°F)","Dew Point (°F)","Wind Speed (mph)","Wind Gust (mph)","Max Daily Gust (mph)","Wind Direction (°)","Rain Rate (in/hr)","Event Rain (in)","Daily Rain (in)","Weekly Rain (in)","Monthly Rain (in)","Total Rain (in)","Relative Pressure (inHg)","Humidity (%)","Ultra-Violet Radiation Index","Solar Radiation (W/m^2)","Indoor Temperature (°F)","Indoor Humidity (%)","Absolute Pressure (inHg)","Outdoor Battery","CO2 battery","Indoor Feels Like (°F)","Indoor Dew Point (°F)"
2025-01-31T16:35:00-08:00,2025-01-31 16:35:00,46,44.8,45.7,3.4,3.4,18.3,242,0,0.32,0.25,0.35,1.63,198.71,30.3,99,0,2.1,77.2,34,29.03,1,1,76.2,46.6
2025-01-31T16:30:00-08:00,2025-01-31 16:30:00,45.9,43.1,45.6,5.4,5.8,18.3,208,0,0.32,0.25,0.35,1.63,198.71,30.3,99,0,0.8,77.4,34,29.02,1,1,76.4,46.8
2025-01-31T16:25:00-08:00,2025-01-31 16:25:00,45.9,42.5,45.6,6.5,11.4,18.3,181,0,0.32,0.25,0.35,1.63,198.71,30.3,99,0,3.4,77.2,34,29.02,1,1,76.2,46.6
2025-01-31T16:20:00-08:00,2025-01-31 16:20:00,45.9,42.5,45.6,6.5,9.2,18.3,255,0,0.32,0.25,0.35,1.63,198.71,30.3,99,0,3.8,77.2,34,29.02,1,1,76.2,46.6
2025-01-31T16:15:00-08:00,2025-01-31 16:15:00,45.9,42.3,45.6,6.9,11.4,18.3,245,0,0.32,0.25,0.35,1.63,198.71,30.3,99,0,7.7,77.4,34,29.02,1,1,76.4,46.8
2025-01-31T16:10:00-08:00,2025-01-31 16:10:00,45.9,44.3,45.6,3.8,5.8,18.3,247,0,0.32,0.25,0.35,1.63,198.71,30.3,99,0,10.8,77.4,34,29.02,1,1,76.4,46.8
2025-01-31T16:05:00-08:00,2025-01-31 16:05:00,45.7,44.7,45.4,3.1,3.4,18.3,217,0,0.32,0.25,0.35,1.63,198.71,30.3,99,0,6,77.4,34,29.03,1,1,76.4,46.8
2025-01-31T16:00:00-08:00,2025-01-31 16:00:00,45.7,43.9,45.4,4,8.1,18.3,298,0,0.32,0.25,0.35,1.63,198.71,30.3,99,0,5.1,77.4,34,29.02,1,1,76.4,46.8
2025-01-31T15:55:00-08:00,2025-01-31 15:55:00,45.7,42.5,45.4,6,10.3,18.3,220,0,0.32,0.25,0.35,1.63,198.71,30.3,99,0,5.1,77.4,34,29.02,1,1,76.4,46.8
2025-01-31T15:50:00-08:00,2025-01-31 15:50:00,45.5,41.9,45.2,6.7,8.1,18.3,195,0,0.32,0.25,0.35,1.63,198.71,30.3,99,0,2.1,77.5,35,29.02,1,1,76.6,47.7
2025-01-31T15:45:00-08:00,2025-01-31 15:45:00,45.3,42.8,45,4.9,6.9,18.3,216,0,0.32,0.25,0.35,1.63,198.71,30.29,99,0,5.6,77.5,34,29.01,1,1,76.5,46.9
2025-01-31T15:40:00-08:00,2025-01-31 15:40:00,45.1,39.4,44.8,11.6,13.6,18.3,231,0,0.32,0.25,0.35,1.63,198.71,30.29,99,0,11.6,77.5,34,29.01,1,1,76.5,46.9
2025-01-31T15:35:00-08:00,2025-01-31 15:35:00,45,45,44.7,2.7,4.5,18.3,167,0,0.32,0.25,0.35,1.63,198.71,30.29,99,0,13.8,77.7,34,29.01,1,1,76.8,47.1
2025-01-31T15:30:00-08:00,2025-01-31 15:30:00,45,42.9,44.7,4.3,5.8,18.3,243,0,0.32,0.25,0.35,1.63,198.71,30.29,99,0,12.1,77.5,34,29.01,1,1,76.5,46.9
2025-01-31T15:25:00-08:00,2025-01-31 15:25:00,45,43.6,44.7,3.4,4.5,18.3,200,0,0.32,0.25,0.35,1.63,198.71,30.28,99,0,9.5,77.7,35,29.01,1,1,76.8,47.8
2025-01-31T15:20:00-08:00,2025-01-31 15:20:00,45,42.4,44.7,4.9,8.1,18.3,211,0,0.32,0.25,0.35,1.63,198.71,30.28,99,0,8.6,77.5,35,29.01,1,1,76.6,47.7
2025-01-31T15:15:00-08:00,2025-01-31 15:15:00,45,43.6,44.7,3.4,4.5,18.3,248,0,0.32,0.25,0.35,1.63,198.71,30.29,99,0,7.7,77.7,35,29.02,1,1,76.8,47.8
2025-01-31T15:10:00-08:00,2025-01-31 15:10:00,45.1,45.1,44.8,2.5,5.8,18.3,141,0.05,0.32,0.25,0.35,1.63,198.71,30.28,99,0,7.7,77.7,35,29,1,1,76.8,47.8
2025-01-31T15:05:00-08:00,2025-01-31 15:05:00,45.1,42.4,44.8,5.1,9.2,18.3,336,0.05,0.32,0.25,0.35,1.63,198.71,30.28,99,0,7.7,77.7,35,29,1,1,76.8,47.8
2025-01-31T15:00:00-08:00,2025-01-31 15:00:00,45.3,44,45,3.4,4.5,18.3,195,0,0.31,0.24,0.34,1.62,198.71,30.29,99,0,9.9,77.9,35,29.01,1,1,77,48
2025-01-31T14:55:00-08:00,2025-01-31 14:55:00,45.3,41.7,45,6.7,12.5,18.3,47,0,0.31,0.24,0.34,1.62,198.71,30.29,99,0,14.3,77.7,35,29.01,1,1,76.8,47.8
