,Date,Outdoor Temperature (°F),Feels Like (°F),Dew Point (°F),Wind Speed (mph),Wind Gust (mph),Max Daily Gust (mph),Wind Direction (°),Hourly Rain (in/hr),Daily Rain (in),Weekly Rain (in),Monthly Rain (in),Event Rain (in),Total Rain (in),Relative Pressure (inHg),Outdoor Humidity (%),Ultra-Violet Radiation Index,Solar Radiation (W/m^2),Indoor Temperature (°F),Indoor Humidity (%),Indoor Feels Like (°F),Indoor Dew Point (°F),Absolute Pressure (inHg)
High Datetime,2022-05-21,2022-05-21T17:31:00-07:00,2022-05-21T17:31:00-07:00,2022-05-21T13:59:00-07:00,2022-05-21T15:03:00-07:00,2022-05-21T15:03:00-07:00,2022-05-21T15:51:00-07:00,,2022-05-21T01:00:00-07:00,2022-05-21T01:00:00-07:00,2022-05-21T01:00:00-07:00,2022-05-21T01:00:00-07:00,2022-05-21T01:00:00-07:00,2022-05-21T01:00:00-07:00,2022-05-21T23:36:00-07:00,2022-05-21T05:37:00-07:00,2022-05-21T10:25:00-07:00,2022-05-21T10:25:00-07:00,2022-05-21T18:00:00-07:00,2022-05-21T09:52:00-07:00,2022-05-21T18:00:00-07:00,2022-05-21T13:45:00-07:00,2022-05-21T23:36:00-07:00
Low,2022-05-21,43.7,43.7,42,0,0,0,,0,0,0,0,0,100.3,30.91,44,0,0,73.9,29,72.6,44.5,29.63
Low Datetime,2022-05-21,2022-05-21T05:27:00-07:00,2022-05-21T05:27:00-07:00,2022-05-21T16:08:00-07:00,2022-05-21T01:00:00-07:00,2022-05-21T01:00:00-07:00,2022-05-21T00:00:00-07:00,,2022-05-21T01:00:00-07:00,2022-05-21T01:00:00-07:00,2022-05-21T00:00:00-07:00,2022-05-21T00:00:00-07:00,2022-05-21T01:00:00-07:00,2022-05-21T01:00:00-07:00,2022-05-21T16:37:00-07:00,2022-05-21T16:08:00-07:00,2022-05-21T01:00:00-07:00,2022-05-21T01:00:00-07:00,2022-05-21T06:41:00-07:00,2022-05-21T18:01:00-07:00,2022-05-21T06:41:00-07:00,2022-05-21T06:41:00-07:00,2022-05-21T16:37:00-07:00
Average,2022-05-20,49.9,49.9,44.1,0.9,1.3,5.8,NNE,0,0,0.93,6.54,0,100.29,30.98,81,1,174.4,77.3,33,76.2,45.9,29.7
High,2022-05-20,61.5,61.5,50.2,5.4,6.9,8.1,,0,0,0.97,6.82,0,100.3,31.03,97,9,1012.5,85.1,36,82.8,49.7,29.76
High Datetime,2022-05-20,2022-05-20T16:17:00-07:00,2022-05-20T16:17:00-07:00,2022-05-20T16:33:00-07:00,2022-05-20T21:23:00-07:00,2022-05-20T12:36:00-07:00,2022-05-20T12:09:00-07:00,,2022-05-20T01:00:00-07:00,2022-05-20T01:00:00-07:00,2022-05-20T01:00:00-07:00,2022-05-20T01:00:00-07:00,2022-05-20T01:00:00-07:00,2022-05-20T01:00:00-07:00,2022-05-20T09:08:00-07:00,2022-05-20T05:31:00-07:00,2022-05-20T11:38:00-07:00,2022-05-20T12:38:00-07:00,2022-05-20T18:00:00-07:00,2022-05-20T09:22:00-07:00,2022-05-20T18:00:00-07:00,2022-05-20T17:59:00-07:00,2022-05-20T09:08:00-07:00
Low,2022-05-20,41.2,41.2,39.8,0,0,1.1,,0,0,0,0,0,100.3,30.91,60,0,0,73.6,29,72.2,42.7,29.63
Low Datetime,2022-05-20,2022-05-20T04:32:00-07:00,2022-05-20T04:32:00-07:00,2022-05-20T03:20:00-07:00,2022-05-20T01:00:00-07:00,2022-05-20T01:00:00-07:00,2022-05-20T00:00:00-07:00,,2022-05-20T01:00:00-07:00,2022-05-20T01:00:00-07:00,2022-05-20T00:00:00-07:00,2022-05-20T00:00:00-07:00,2022-05-20T01:00:00-07:00,2022-05-20T01:00:00-07:00,2022-05-20T19:10:00-07:00,2022-05-20T18:08:00-07:00,2022-05-20T01:00:00-07:00,2022-05-20T01:00:00-07:00,2022-05-20T05:38:00-07:00,2022-05-20T18:00:00-07:00,2022-05-20T05:38:00-07:00,2022-05-20T05:38:00-07:00,2022-05-20T19:10:00-07:00
Average,2022-05-19,48.7,48.6,40.7,1.6,2.3,10.4,NNE,0,0.02,0.92,6.53,0.04,100.29,30.93,75,1,225.1,77.2,32,76.1,45.2,29.65
High,2022-05-19,59.2,59.2,44.8,9.8,11.4,17.2,,0.14,0.03,0.97,6.82,0.13,100.3,31,97,9,1002,85.6,36,82.9,49.3,29.73
High Datetime,2022-05-19,2022-05-19T16:58:00-07:00,2022-05-19T16:58:00-07:00,2022-05-19T08:38:00-07:00,2022-05-19T11:52:00-07:00,2022-05-19T11:52:00-07:00,2022-05-19T15:12:00-07:00,,2022-05-19T05:40:00-07:00,2022-05-19T05:40:00-07:00,2022-05-19T05:40:00-07:00,2022-05-19T05:40:00-07:00,2022-05-19T05:40:00-07:00,2022-05-19T05:40:00-07:00,2022-05-19T23:50:00-07:00,2022-05-19T05:28:00-07:00,2022-05-19T10:16:00-07:00,2022-05-19T10:16:00-07:00,2022-05-19T18:01:00-07:00,2022-05-19T08:58:00-07:00,2022-05-19T18:01:00-07:00,2022-05-19T14:41:00-07:00,2022-05-19T23:50:00-07:00
Low,2022-05-19,41.4,41.4,33.4,0,0,0,,0,0,0,0,0,100.26,30.86,41,0,0,73.6,24,72.3,41.6,29.58
